word,freq_hike,freq_cut,p_hike,p_cut,log_odds
растянем,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
нехватку,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
незначительное,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
конкретного,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
направили,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ведомствами,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
отношений,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
глазах,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ценными,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
пределы,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ноября,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
тест,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ценовыми,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
главной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
перегретого,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
дальнейший,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
уходили,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
начинали,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
низкорискованные,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
сохранился,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
опыта,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
нерегулярные,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
гармонизация,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
дифференциацию,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
стратегическим,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
функция,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
дестимулировать,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
продолжительный,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
неэффективных,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
населенных,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
египта,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
высокорискованных,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
отрезке,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
мягкие,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
узких,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
жилищных,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
смещены,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
сезонной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
внебиржевых,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
нормативу,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
замедляются,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
недобросовестные,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
оказывали,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
настройки,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
дисбаланса,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
уходящих,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
проявятся,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
соответствующей,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
эпидемической,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
юге,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
консультативный,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
занимаются,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
выводить,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
административное,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
подразумевает,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
пересмотром,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
диапазону,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
опережал,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
практику,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
сферу,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
подсолнечное,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
